,@timestamp,logtype,system,loghost,hostname,envname,procname,procid,module,keywname,keywvalue,keywmask,logtext,errstack,errstackidx,errlocation,errseverity,keymask,csvfile
2203,2020-02-16T11:00:38.473Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,181,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2204,2020-02-16T11:03:49.688Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,181,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2205,2020-02-16T11:08:00.287Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,181,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2206,2020-02-16T11:09:39.284Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,181,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2207,2020-02-16T11:11:18.283Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,203,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2208,2020-02-16T11:11:51.287Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,203,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2209,2020-02-16T11:12:24.287Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,203,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2210,2020-02-16T11:13:30.282Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,181,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2211,2020-02-16T11:14:36.288Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,bob_calib,203,seq,,,,SETUP  -function  OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Team,0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
2212,2020-02-16T11:14:36.289Z,LOG,FORS2,wf2ors,wf2ors,wf2ors,expExpoCoordTask,181,exp,,,,"SetupCB: Got SETUP command. Buffer = ,,OBS.DID ESO-VLT-DIC.OBS-2.0 OBS.GRP 0 OBS.ID 200115617 OBS.NAME Calibration OBS.PI-COI.ID 52005 OBS.PI-COI.NAME FORS2 Operation Tea",0,0,,,,/datalake/processeddata/csv-vltlogs/2020/02/log_wf2ors.2020-02-15.csv
