,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,csvfile
232,LOG,2018-01-31T06:03:41.498Z,GRAVITY,wgv,wgv,wgv,bob_3493,51,seq,,,,OB aborted after 81 seconds at 2018-01-31T05:54:34,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-30.csv
233,LOG,2018-01-26T20:05:34.604Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB started at 2018-01-26T20:05:34,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
234,LOG,2018-02-05T16:22:06.499Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
235,LOG,2018-01-28T00:38:14.250Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB finished (TERMINATED) in 1728 seconds at 2018-01-28T00:38:14,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
236,LOG,2018-01-28T00:39:22.232Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB started at 2018-01-28T00:39:22,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
237,LOG,2018-02-03T09:35:29.087Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,(OBS.NAME: Calibration // OBS.ID: 200385148),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
238,LOG,2018-02-03T09:37:38.010Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,OB aborted after 4 seconds at 2018-02-03T09:37:30,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
239,LOG,2018-01-31T00:18:57.845Z,GRAVITY,wgv,wgv,wgv,bob_3493,51,seq,,,,OB finished (TERMINATED) in 32251 seconds at 2018-01-31T00:18:57,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-30.csv
240,LOG,2018-02-05T16:29:21.999Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,OB finished (TERMINATED) in 435 seconds at 2018-02-05T16:29:21,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
241,LOG,2018-02-05T16:29:48.431Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,OB started at 2018-02-05T16:29:48,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
242,LOG,2018-02-05T16:29:48.431Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
243,LOG,2018-01-27T05:30:03.519Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,OB continued at 2018-01-27T05:30:03,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
244,LOG,2018-02-05T16:08:23.964Z,GRAVITY,wgv,wgv,wgv,bob_17617,85,seq,,,,(OBS.NAME: Maintenance // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
