,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,keywmask
109,LOG,2019-01-27T06:13:39.209Z,GRAVITY,wgv,wgv,wgv,bob_ins,209,seq,,,,OB aborted after 1 seconds at 2019-01-27T06:13:37,0,0,,,
110,LOG,2019-01-28T00:19:49.410Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB started at 2019-01-28T00:19:49,0,0,,,
111,LOG,2019-01-25T23:53:37.644Z,GRAVITY,wgv,wgv,wgv,bob_31863,18,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
112,LOG,2019-01-27T03:58:28.330Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,OB aborted after 1510 seconds at 2019-01-27T03:58:28,0,0,,,
113,LOG,2019-01-28T04:25:39.027Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB started at 2019-01-28T04:25:39,0,0,,,
114,LOG,2019-01-28T04:25:39.028Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,(OBS.NAME: CAL_HIP34975_forRCnc // OBS.ID: 2093533),0,0,,,
115,LOG,2019-01-28T08:21:13.352Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB paused at 2019-01-28T08:21:13,0,0,,,
116,LOG,2019-01-28T07:42:29.922Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB paused at 2019-01-28T07:42:29,0,0,,,
117,LOG,2019-01-26T03:18:39.705Z,GRAVITY,wgv,wgv,wgv,bob_31863,18,seq,,,,ERROR: ACK ABORT (red),0,0,,,
118,LOG,2019-01-26T03:18:46.365Z,GRAVITY,wgv,wgv,wgv,bob_31863,18,seq,,,,OB started at 2019-01-26T03:18:46,0,0,,,
119,LOG,2019-01-27T20:15:28.472Z,GRAVITY,wgv,wgv,wgv,bob_11487,150,seq,,,,OB paused at 2019-01-27T20:15:28,0,0,,,
120,LOG,2019-01-29T02:49:07.100Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: SCI_CE_Tau_GRAVITY_A0B2C1D0_HIGH-SPLIT // OBS.ID: 2265442),0,0,,,
121,LOG,2019-01-29T02:09:00.629Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB finished (TERMINATED) in 1627 seconds at 2019-01-29T02:09:00,0,0,,,
122,LOG,2019-01-29T01:41:53.735Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T01:41:53,0,0,,,
123,LOG,2019-01-28T05:19:55.647Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB finished (TERMINATED) in 1577 seconds at 2019-01-28T05:19:55,0,0,,,
124,LOG,2019-01-27T03:58:28.318Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,ERROR: ACK ABORT (red),0,0,,,
125,LOG,2019-01-27T03:59:54.815Z,GRAVITY,wgv,wgv,wgv,bob_18363,144,seq,,,,(OBS.NAME: B02_HD63696_MED_SPLIT // OBS.ID: 200452411),0,0,,,
126,LOG,2019-01-28T04:14:06.019Z,GRAVITY,wgv,wgv,wgv,bob_27368,133,seq,,,,OB aborted after 519 seconds at 2019-01-28T04:14:06,0,0,,,
127,LOG,2019-01-31T20:24:57.788Z,GRAVITY,wgv,wgv,wgv,bob_18816,130,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
128,LOG,2019-01-31T20:24:57.788Z,GRAVITY,wgv,wgv,wgv,bob_18816,130,seq,,,,OB started at 2019-01-31T20:24:57,0,0,,,
129,LOG,2019-01-29T03:31:43.843Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: SCI_Betelgeuse_GRAVITY_A0B2C1D0_HIGH-SPLIT // OBS.ID: 2265412),0,0,,,
130,LOG,2019-01-29T03:31:43.843Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,OB started at 2019-01-29T03:31:43,0,0,,,
131,LOG,2019-01-28T18:26:52.244Z,GRAVITY,wgv,wgv,wgv,bob_33178,88,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,
